"","CurSim","missingprop_autocor","parameters","param_value","param_se","missingness","type","run_no"
"46",100,"propMissAct_0.25_autoCorr_0.28","intercept",0.373432656577916,0.04531709182002,"MAR","Multiple Imputations",100
"47",100,"propMissAct_0.25_autoCorr_0.28","xreg1",4.4931935142314,0.498535904107398,"MAR","Multiple Imputations",100
"48",100,"propMissAct_0.25_autoCorr_0.28","xreg2",1.57944820376374,0.148544814523495,"MAR","Multiple Imputations",100
"49",100,"propMissAct_0.25_autoCorr_0.28","phi",-1.40664319672438,0.134357433862744,"MAR","Multiple Imputations",100
"50",100,"propMissAct_0.25_autoCorr_0.28","sigma",0.582224594165817,NA,"MAR","Multiple Imputations",100
"51",100,"propMissAct_0.43_autoCorr_0.27","intercept",0.25945902677337,0.040560886112833,"MAR","Multiple Imputations",100
"52",100,"propMissAct_0.43_autoCorr_0.27","xreg1",5.13113288614862,0.480636816052664,"MAR","Multiple Imputations",100
"53",100,"propMissAct_0.43_autoCorr_0.27","xreg2",1.66811284031977,0.112853871846166,"MAR","Multiple Imputations",100
"54",100,"propMissAct_0.43_autoCorr_0.27","phi",-1.59222678057022,0.135414776525759,"MAR","Multiple Imputations",100
"55",100,"propMissAct_0.43_autoCorr_0.27","sigma",0.626849467416736,NA,"MAR","Multiple Imputations",100
"56",100,"propMissAct_0.64_autoCorr_0.24","intercept",0.179688062014579,0.0669926218551878,"MAR","Multiple Imputations",100
"57",100,"propMissAct_0.64_autoCorr_0.24","xreg1",5.07700953319682,0.472315242553145,"MAR","Multiple Imputations",100
"58",100,"propMissAct_0.64_autoCorr_0.24","xreg2",2.108997801648,0.157124689341851,"MAR","Multiple Imputations",100
"59",100,"propMissAct_0.64_autoCorr_0.24","phi",-1.65708557535097,0.141095624822039,"MAR","Multiple Imputations",100
"60",100,"propMissAct_0.64_autoCorr_0.24","sigma",0.666047578940142,NA,"MAR","Multiple Imputations",100
"61",101,"propMissAct_0.22_autoCorr_0.5","ar1",0.389201688195371,0.0335774782919536,"MAR","dropNA_simple",101
"62",101,"propMissAct_0.22_autoCorr_0.5","intercept",4.50929926971576,0.483741624866503,"MAR","dropNA_simple",101
"63",101,"propMissAct_0.22_autoCorr_0.5","xreg1",1.57455355151964,0.139039724835002,"MAR","dropNA_simple",101
