"CurSim","missingprop_autocor","parameters","param_value","param_se","missingness","type","run_no"
17,"propMissAct_0.25_autoCorr_0.51","ar1",0.411534210138648,0.0338389793543183,"MAR","dropNA_simple",17
17,"propMissAct_0.25_autoCorr_0.51","intercept",4.2074515382273,0.512153347078786,"MAR","dropNA_simple",17
17,"propMissAct_0.25_autoCorr_0.51","xreg1",1.6132912540124,0.143372263651285,"MAR","dropNA_simple",17
17,"propMissAct_0.25_autoCorr_0.51","xreg2",-1.33883787004396,0.141508460933978,"MAR","dropNA_simple",17
17,"propMissAct_0.25_autoCorr_0.51","sigma",0.602473017160024,NA,"MAR","dropNA_simple",17
17,"propMissAct_0.43_autoCorr_0.52","ar1",0.412158782645581,0.0405231015687814,"MAR","dropNA_simple",17
17,"propMissAct_0.43_autoCorr_0.52","intercept",3.96006245165358,0.584206220119275,"MAR","dropNA_simple",17
17,"propMissAct_0.43_autoCorr_0.52","xreg1",1.5200095117827,0.170512463727255,"MAR","dropNA_simple",17
17,"propMissAct_0.43_autoCorr_0.52","xreg2",-1.26761614040382,0.162075289617649,"MAR","dropNA_simple",17
17,"propMissAct_0.43_autoCorr_0.52","sigma",0.591428548990336,NA,"MAR","dropNA_simple",17
17,"propMissAct_0.62_autoCorr_0.5","ar1",0.33382672897439,0.0487732823202462,"MAR","dropNA_simple",17
17,"propMissAct_0.62_autoCorr_0.5","intercept",4.98248620956623,0.655559720662255,"MAR","dropNA_simple",17
17,"propMissAct_0.62_autoCorr_0.5","xreg1",1.56257370054571,0.194862717129748,"MAR","dropNA_simple",17
17,"propMissAct_0.62_autoCorr_0.5","xreg2",-1.54605405761334,0.183571315954491,"MAR","dropNA_simple",17
17,"propMissAct_0.62_autoCorr_0.5","sigma",0.646845114698941,NA,"MAR","dropNA_simple",17
17,"propMissAct_0.25_autoCorr_0.51","ar1",0.381309654595138,0.0367731378321824,"MAR","dropNA_complete",17
17,"propMissAct_0.25_autoCorr_0.51","intercept",4.23271066380234,0.528947579431609,"MAR","dropNA_complete",17
17,"propMissAct_0.25_autoCorr_0.51","xreg1",1.62401149813415,0.153016724849076,"MAR","dropNA_complete",17
17,"propMissAct_0.25_autoCorr_0.51","xreg2",-1.34488624357704,0.146296722662082,"MAR","dropNA_complete",17
17,"propMissAct_0.25_autoCorr_0.51","sigma",0.616817621736439,NA,"MAR","dropNA_complete",17
17,"propMissAct_0.43_autoCorr_0.52","ar1",0.377163466029184,0.044796924506039,"MAR","dropNA_complete",17
17,"propMissAct_0.43_autoCorr_0.52","intercept",4.05398231569051,0.622684641263535,"MAR","dropNA_complete",17
17,"propMissAct_0.43_autoCorr_0.52","xreg1",1.56512295351081,0.186351746450266,"MAR","dropNA_complete",17
17,"propMissAct_0.43_autoCorr_0.52","xreg2",-1.29663981985114,0.172321204563142,"MAR","dropNA_complete",17
17,"propMissAct_0.43_autoCorr_0.52","sigma",0.606347757381366,NA,"MAR","dropNA_complete",17
17,"propMissAct_0.62_autoCorr_0.5","ar1",0.298841409456905,0.064684925581525,"MAR","dropNA_complete",17
17,"propMissAct_0.62_autoCorr_0.5","intercept",5.30581444147905,0.75507087967108,"MAR","dropNA_complete",17
17,"propMissAct_0.62_autoCorr_0.5","xreg1",1.60073994152776,0.230041488370946,"MAR","dropNA_complete",17
17,"propMissAct_0.62_autoCorr_0.5","xreg2",-1.6314749629863,0.214855529126301,"MAR","dropNA_complete",17
17,"propMissAct_0.62_autoCorr_0.5","sigma",0.59014270455606,NA,"MAR","dropNA_complete",17
17,"propMissAct_0.25_autoCorr_0.51","ar1",0.413266211503479,0.0356042528753913,"MAR","Kalman Filter",17
17,"propMissAct_0.25_autoCorr_0.51","intercept",4.29621847301015,0.496359736245199,"MAR","Kalman Filter",17
17,"propMissAct_0.25_autoCorr_0.51","xreg1",1.66913076117638,0.1388809539162,"MAR","Kalman Filter",17
17,"propMissAct_0.25_autoCorr_0.51","xreg2",-1.37133931542475,0.137268427282162,"MAR","Kalman Filter",17
17,"propMissAct_0.25_autoCorr_0.51","sigma",0.603441794809246,NA,"MAR","Kalman Filter",17
17,"propMissAct_0.43_autoCorr_0.52","ar1",0.422203027877992,0.0421833237207035,"MAR","Kalman Filter",17
17,"propMissAct_0.43_autoCorr_0.52","intercept",4.31984473795272,0.545914196488132,"MAR","Kalman Filter",17
17,"propMissAct_0.43_autoCorr_0.52","xreg1",1.65297668394312,0.157979871281413,"MAR","Kalman Filter",17
17,"propMissAct_0.43_autoCorr_0.52","xreg2",-1.38491039094036,0.150929988452601,"MAR","Kalman Filter",17
17,"propMissAct_0.43_autoCorr_0.52","sigma",0.583122499764908,NA,"MAR","Kalman Filter",17
17,"propMissAct_0.62_autoCorr_0.5","ar1",0.389578295465852,0.0578866282385759,"MAR","Kalman Filter",17
17,"propMissAct_0.62_autoCorr_0.5","intercept",5.37107198975365,0.633457874881891,"MAR","Kalman Filter",17
17,"propMissAct_0.62_autoCorr_0.5","xreg1",1.5634513239317,0.187293315080295,"MAR","Kalman Filter",17
17,"propMissAct_0.62_autoCorr_0.5","xreg2",-1.66106232482455,0.175968382332494,"MAR","Kalman Filter",17
17,"propMissAct_0.62_autoCorr_0.5","sigma",0.628291120928142,NA,"MAR","Kalman Filter",17
17,"propMissAct_0.25_autoCorr_0.51","intercept",0.293894538168812,0.0321230351095563,"MAR","Multiple Imputations",17
17,"propMissAct_0.25_autoCorr_0.51","xreg1",4.60544874463351,0.520598402241729,"MAR","Multiple Imputations",17
17,"propMissAct_0.25_autoCorr_0.51","xreg2",1.79855641407757,0.146547732936488,"MAR","Multiple Imputations",17
17,"propMissAct_0.25_autoCorr_0.51","phi",-1.47535623495984,0.136472691178297,"MAR","Multiple Imputations",17
17,"propMissAct_0.25_autoCorr_0.51","sigma",0.672914205434525,NA,"MAR","Multiple Imputations",17
17,"propMissAct_0.43_autoCorr_0.52","intercept",0.245045245915774,0.0370477799807243,"MAR","Multiple Imputations",17
17,"propMissAct_0.43_autoCorr_0.52","xreg1",4.41669273719849,0.478825962078679,"MAR","Multiple Imputations",17
17,"propMissAct_0.43_autoCorr_0.52","xreg2",1.84953893550143,0.172740700158233,"MAR","Multiple Imputations",17
17,"propMissAct_0.43_autoCorr_0.52","phi",-1.43683169920205,0.1350727996981,"MAR","Multiple Imputations",17
17,"propMissAct_0.43_autoCorr_0.52","sigma",0.662977815428337,NA,"MAR","Multiple Imputations",17
17,"propMissAct_0.62_autoCorr_0.5","intercept",0.148454072642303,0.0485475511282329,"MAR","Multiple Imputations",17
17,"propMissAct_0.62_autoCorr_0.5","xreg1",4.94278327463611,0.869309694465668,"MAR","Multiple Imputations",17
17,"propMissAct_0.62_autoCorr_0.5","xreg2",1.82982523349685,0.14769467819094,"MAR","Multiple Imputations",17
17,"propMissAct_0.62_autoCorr_0.5","phi",-1.56550077170887,0.239266826201104,"MAR","Multiple Imputations",17
17,"propMissAct_0.62_autoCorr_0.5","sigma",0.729860324379261,NA,"MAR","Multiple Imputations",17
