"CurSim","missingprop_autocor","parameters","param_value","param_se","missingness","type","run_no"
144,"propMissAct_0.18_autoCorr_0.75","ar1",0.424256053495454,0.0329803239118115,"MAR","dropNA_simple",144
144,"propMissAct_0.18_autoCorr_0.75","intercept",4.59509263925015,0.500747452538554,"MAR","dropNA_simple",144
144,"propMissAct_0.18_autoCorr_0.75","xreg1",1.52289904237763,0.131294401174999,"MAR","dropNA_simple",144
144,"propMissAct_0.18_autoCorr_0.75","xreg2",-1.42850009586905,0.138919064650505,"MAR","dropNA_simple",144
144,"propMissAct_0.18_autoCorr_0.75","sigma",0.548001597475468,NA,"MAR","dropNA_simple",144
144,"propMissAct_0.4_autoCorr_0.77","ar1",0.376847718119876,0.0388536020780703,"MAR","dropNA_simple",144
144,"propMissAct_0.4_autoCorr_0.77","intercept",5.00757172100575,0.562474969240208,"MAR","dropNA_simple",144
144,"propMissAct_0.4_autoCorr_0.77","xreg1",1.55091173748548,0.158480855451121,"MAR","dropNA_simple",144
144,"propMissAct_0.4_autoCorr_0.77","xreg2",-1.55577904166275,0.154423732501424,"MAR","dropNA_simple",144
144,"propMissAct_0.4_autoCorr_0.77","sigma",0.659557498269132,NA,"MAR","dropNA_simple",144
144,"propMissAct_0.56_autoCorr_0.74","ar1",0.431477063358124,0.0446956037973261,"MAR","dropNA_simple",144
144,"propMissAct_0.56_autoCorr_0.74","intercept",4.46156380134785,0.720963760132936,"MAR","dropNA_simple",144
144,"propMissAct_0.56_autoCorr_0.74","xreg1",1.58867705670345,0.181259122587647,"MAR","dropNA_simple",144
144,"propMissAct_0.56_autoCorr_0.74","xreg2",-1.40769247318651,0.199799537736683,"MAR","dropNA_simple",144
144,"propMissAct_0.56_autoCorr_0.74","sigma",0.549895395364483,NA,"MAR","dropNA_simple",144
144,"propMissAct_0.18_autoCorr_0.75","ar1",0.394823530620739,0.0341810295490394,"MAR","dropNA_complete",144
144,"propMissAct_0.18_autoCorr_0.75","intercept",4.69640846345668,0.498235132856417,"MAR","dropNA_complete",144
144,"propMissAct_0.18_autoCorr_0.75","xreg1",1.52903075139715,0.132493276827126,"MAR","dropNA_complete",144
144,"propMissAct_0.18_autoCorr_0.75","xreg2",-1.45216992074245,0.138161363969466,"MAR","dropNA_complete",144
144,"propMissAct_0.18_autoCorr_0.75","sigma",0.550162796033858,NA,"MAR","dropNA_complete",144
144,"propMissAct_0.4_autoCorr_0.77","ar1",0.338478114120699,0.0414597926544315,"MAR","dropNA_complete",144
144,"propMissAct_0.4_autoCorr_0.77","intercept",5.51501120125257,0.590291949321613,"MAR","dropNA_complete",144
144,"propMissAct_0.4_autoCorr_0.77","xreg1",1.53434717447639,0.163509911830362,"MAR","dropNA_complete",144
144,"propMissAct_0.4_autoCorr_0.77","xreg2",-1.69397361954667,0.162286033705738,"MAR","dropNA_complete",144
