"CurSim","missingprop_autocor","parameters","param_value","param_se","missingness","type","run_no"
26,"propMissAct_0.24_autoCorr_0.47","ar1",0.367387944199166,0.0428308106334223,"MAR","dropNA_simple",26
26,"propMissAct_0.24_autoCorr_0.47","intercept",4.88202872947723,0.615023893280282,"MAR","dropNA_simple",26
26,"propMissAct_0.24_autoCorr_0.47","xreg1",1.74219269522923,0.164688640232343,"MAR","dropNA_simple",26
26,"propMissAct_0.24_autoCorr_0.47","xreg2",-1.53426936618801,0.172926251516789,"MAR","dropNA_simple",26
26,"propMissAct_0.24_autoCorr_0.47","sigma",0.57823558098532,NA,"MAR","dropNA_simple",26
26,"propMissAct_0.41_autoCorr_0.5","ar1",0.50459493298606,0.0510379442872046,"MAR","dropNA_simple",26
26,"propMissAct_0.41_autoCorr_0.5","intercept",5.39638330105061,0.760391192858314,"MAR","dropNA_simple",26
26,"propMissAct_0.41_autoCorr_0.5","xreg1",1.57418664181772,0.196907366577579,"MAR","dropNA_simple",26
26,"propMissAct_0.41_autoCorr_0.5","xreg2",-1.65458698404735,0.21749954312881,"MAR","dropNA_simple",26
26,"propMissAct_0.41_autoCorr_0.5","sigma",0.424195379056245,NA,"MAR","dropNA_simple",26
26,"propMissAct_0.6_autoCorr_0.49","ar1",0.318074521323826,0.0600238333367175,"MAR","dropNA_simple",26
26,"propMissAct_0.6_autoCorr_0.49","intercept",4.65754393797601,0.727285780625724,"MAR","dropNA_simple",26
26,"propMissAct_0.6_autoCorr_0.49","xreg1",1.87091168553531,0.22232514594463,"MAR","dropNA_simple",26
26,"propMissAct_0.6_autoCorr_0.49","xreg2",-1.46678857371195,0.203496325128232,"MAR","dropNA_simple",26
26,"propMissAct_0.6_autoCorr_0.49","sigma",0.614705113451092,NA,"MAR","dropNA_simple",26
26,"propMissAct_0.24_autoCorr_0.47","ar1",0.381176432563123,0.0469209501748503,"MAR","dropNA_complete",26
26,"propMissAct_0.24_autoCorr_0.47","intercept",4.57133699186246,0.683142352655133,"MAR","dropNA_complete",26
26,"propMissAct_0.24_autoCorr_0.47","xreg1",1.67715729944837,0.182658269460696,"MAR","dropNA_complete",26
26,"propMissAct_0.24_autoCorr_0.47","xreg2",-1.43940171121699,0.19233198894796,"MAR","dropNA_complete",26
26,"propMissAct_0.24_autoCorr_0.47","sigma",0.586532866742483,NA,"MAR","dropNA_complete",26
26,"propMissAct_0.41_autoCorr_0.5","ar1",0.544871165689151,0.0673286034753996,"MAR","dropNA_complete",26
26,"propMissAct_0.41_autoCorr_0.5","intercept",3.75144658988164,1.10565597997561,"MAR","dropNA_complete",26
26,"propMissAct_0.41_autoCorr_0.5","xreg1",1.46643693760471,0.237059875764982,"MAR","dropNA_complete",26
26,"propMissAct_0.41_autoCorr_0.5","xreg2",-1.16914255862987,0.31939505166627,"MAR","dropNA_complete",26
26,"propMissAct_0.41_autoCorr_0.5","sigma",0.418598480683339,NA,"MAR","dropNA_complete",26
26,"propMissAct_0.6_autoCorr_0.49","ar1",0.254073857925545,0.0722191843578205,"MAR","dropNA_complete",26
26,"propMissAct_0.6_autoCorr_0.49","intercept",5.25779873722106,0.885151158071346,"MAR","dropNA_complete",26
26,"propMissAct_0.6_autoCorr_0.49","xreg1",1.88006799893769,0.271269863601991,"MAR","dropNA_complete",26
26,"propMissAct_0.6_autoCorr_0.49","xreg2",-1.64565961411255,0.248088806152746,"MAR","dropNA_complete",26
26,"propMissAct_0.6_autoCorr_0.49","sigma",0.738864537736637,NA,"MAR","dropNA_complete",26
26,"propMissAct_0.24_autoCorr_0.47","ar1",0.389937654853725,0.0434460151641196,"MAR","Kalman Filter",26
26,"propMissAct_0.24_autoCorr_0.47","intercept",5.13203893022404,0.597710715947894,"MAR","Kalman Filter",26
