"CurSim","missingprop_autocor","parameters","param_value","param_se","missingness","type","run_no"
27,"propMissAct_0.22_autoCorr_0.77","ar1",0.394489127252663,0.0422504555519639,"MAR","dropNA_simple",27
27,"propMissAct_0.22_autoCorr_0.77","intercept",5.06229724579179,0.61904261878753,"MAR","dropNA_simple",27
27,"propMissAct_0.22_autoCorr_0.77","xreg1",1.59808893565334,0.168512541733798,"MAR","dropNA_simple",27
27,"propMissAct_0.22_autoCorr_0.77","xreg2",-1.56413736776879,0.1753232581776,"MAR","dropNA_simple",27
27,"propMissAct_0.22_autoCorr_0.77","sigma",0.596056190031288,NA,"MAR","dropNA_simple",27
27,"propMissAct_0.4_autoCorr_0.77","ar1",0.363958099540063,0.048598968092154,"MAR","dropNA_simple",27
27,"propMissAct_0.4_autoCorr_0.77","intercept",4.90033203805764,0.668992970419256,"MAR","dropNA_simple",27
27,"propMissAct_0.4_autoCorr_0.77","xreg1",1.66720709051696,0.199506749905384,"MAR","dropNA_simple",27
27,"propMissAct_0.4_autoCorr_0.77","xreg2",-1.54594943522614,0.188090843542115,"MAR","dropNA_simple",27
27,"propMissAct_0.4_autoCorr_0.77","sigma",0.647883272781807,NA,"MAR","dropNA_simple",27
27,"propMissAct_0.63_autoCorr_0.72","ar1",0.32263666781136,0.0616338614922056,"MAR","dropNA_simple",27
27,"propMissAct_0.63_autoCorr_0.72","intercept",5.31560611397148,0.995862262692167,"MAR","dropNA_simple",27
27,"propMissAct_0.63_autoCorr_0.72","xreg1",1.16493915318392,0.261864151171655,"MAR","dropNA_simple",27
27,"propMissAct_0.63_autoCorr_0.72","xreg2",-1.62267567496322,0.279570623428508,"MAR","dropNA_simple",27
27,"propMissAct_0.63_autoCorr_0.72","sigma",0.743117486253854,NA,"MAR","dropNA_simple",27
27,"propMissAct_0.22_autoCorr_0.77","ar1",0.37881926719078,0.0446380510567104,"MAR","dropNA_complete",27
27,"propMissAct_0.22_autoCorr_0.77","intercept",5.25245954840586,0.643285833304878,"MAR","dropNA_complete",27
27,"propMissAct_0.22_autoCorr_0.77","xreg1",1.56106459339853,0.177209757398859,"MAR","dropNA_complete",27
27,"propMissAct_0.22_autoCorr_0.77","xreg2",-1.61575593970075,0.182946341569113,"MAR","dropNA_complete",27
27,"propMissAct_0.22_autoCorr_0.77","sigma",0.609930858967792,NA,"MAR","dropNA_complete",27
27,"propMissAct_0.4_autoCorr_0.77","ar1",0.307392097511114,0.0532522810127799,"MAR","dropNA_complete",27
27,"propMissAct_0.4_autoCorr_0.77","intercept",5.51193850509727,0.693013129168124,"MAR","dropNA_complete",27
