"CurSim","missingprop_autocor","pred","se","date","GPP","missingness","type","run_no"
34,"propMissAct_0.24_autoCorr_0.23",0.290121665809968,0.853488866907235,2014-02-08,-0.438703106322262,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.0139900209169438,0.853488866907235,2014-02-09,-0.00344968843796353,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",-0.0555464780782154,0.853488866907235,2014-02-10,-0.853258869161551,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.14079804651457,0.853488866907235,2014-02-11,-0.473758063778374,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.324535549853862,0.853488866907235,2014-02-12,-0.093011489438787,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.20322231361836,0.853488866907235,2014-02-13,-0.38716390850272,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",-0.13747127392403,0.853488866907235,2014-02-14,-0.596486264535982,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.216945909310287,0.853488866907235,2014-02-15,-0.592463347129888,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.0131704978075086,0.853488866907235,2014-02-16,-0.139173636638275,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.151595753754431,0.853488866907235,2014-02-17,-0.28683850695605,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.158439817930767,0.853488866907235,2014-02-18,-0.276055225841372,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.141917731524794,0.853488866907235,2014-02-19,-0.877245310485926,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.0777393346078714,0.853488866907235,2014-02-20,-0.206835695276591,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",-0.311374003529206,0.853488866907235,2014-02-21,-0.708170606823295,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.101943225486747,0.853488866907235,2014-02-22,-0.251422110132157,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.2638929375362,0.853488866907235,2014-02-23,0.54466432877793,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",-0.0792599316178993,0.853488866907235,2014-02-24,-0.683031290153551,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.0049016357422483,0.853488866907235,2014-02-25,0.180788068170033,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.214701749688536,0.853488866907235,2014-02-26,0.104253959230149,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.363217254987125,0.853488866907235,2014-02-27,0.278590611960534,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.594619618131336,0.853488866907235,2014-02-28,0.382714870190654,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.39741369426331,0.853488866907235,2014-03-01,-0.0160732290092103,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.385794238358288,0.853488866907235,2014-03-02,0.155327163136013,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.58699845283885,0.853488866907235,2014-03-03,0.413161669969443,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.102134010864452,0.853488866907235,2014-03-04,0.219331825142003,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.553371593070914,0.853488866907235,2014-03-05,0.286368401892991,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.745685799436569,0.853488866907235,2014-03-06,0.480878545904607,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.611796779446448,0.853488866907235,2014-03-07,NA,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.260355775545106,0.853488866907235,2014-03-08,0.252470011230035,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.471105114014195,0.853488866907235,2014-03-09,0.360222306854372,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.51008007795474,0.853488866907235,2014-03-10,0.373807850521107,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.507596592060343,0.853488866907235,2014-03-11,0.436873168647767,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.281335601405827,0.853488866907235,2014-03-12,-0.585238005212428,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.429322714633145,0.853488866907235,2014-03-13,0.792648220026782,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.332525904828677,0.853488866907235,2014-03-14,0.394852510066496,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.255190883626461,0.853488866907235,2014-03-15,-0.0512452445218331,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.525176307629455,0.853488866907235,2014-03-16,1.05776360640314,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.647768672409866,0.853488866907235,2014-03-17,0.888047060288647,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.569238085587132,0.853488866907235,2014-03-18,0.270118646446605,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.0225213054762151,0.853488866907235,2014-03-19,-1.19881026090702,"MAR","dropNA_simple",34
34,"propMissAct_0.24_autoCorr_0.23",0.149222248891186,0.853488866907235,2014-03-20,0.077003310228049,"MAR","dropNA_simple",34
