missingprop_autocor,parameter,mean,sd,2.5%,50%,97.5%,missingness,type,run_no
propMissAct_0.24_autoCorr_0.78,b_Intercept,5.315850255503806,0.6722364997640601,3.9053538368063183,5.331903749455849,6.587783277467633,MAR,brms,6
propMissAct_0.24_autoCorr_0.78,b_light,1.8348380949180723,0.17169203663763322,1.4850707963688774,1.837423542235963,2.1604416976671565,MAR,brms,6
propMissAct_0.24_autoCorr_0.78,b_Q,-1.6466821903368405,0.19320778417048246,-2.005211783541622,-1.6521260768198802,-1.2418663261985337,MAR,brms,6
propMissAct_0.24_autoCorr_0.78,phi,0.3201063991233395,0.06275522046393303,0.19793286873841587,0.319297256886526,0.4455343092548325,MAR,brms,6
propMissAct_0.24_autoCorr_0.78,sigma,0.6394912305498848,0.026444771885261533,0.590595287263075,0.6384287373372077,0.6941786168229526,MAR,brms,6
propMissAct_0.24_autoCorr_0.78,Intercept,0.3902541847401337,0.052958636625772534,0.2864486446739519,0.3905304046602649,0.49533094587736554,MAR,brms,6
propMissAct_0.4_autoCorr_0.74,b_Intercept,4.179853465118307,1.152014623231443,1.7428119741393244,4.243357280576474,6.243518141879515,MAR,brms,6
propMissAct_0.4_autoCorr_0.74,b_light,1.8815998237553277,0.23013159900600821,1.4161034184173922,1.8885802936049911,2.314499469949897,MAR,brms,6
propMissAct_0.4_autoCorr_0.74,b_Q,-1.3343757762065451,0.3333271882866586,-1.933022419281848,-1.353994294455879,-0.6236629464641745,MAR,brms,6
propMissAct_0.4_autoCorr_0.74,phi,0.5652222949669473,0.08691932593304749,0.3876857997529501,0.5686819365176758,0.7312426530820834,MAR,brms,6
propMissAct_0.4_autoCorr_0.74,sigma,0.5517450258044746,0.027871888508680484,0.5005000308578276,0.5505709594044933,0.6107559227711947,MAR,brms,6
propMissAct_0.4_autoCorr_0.74,Intercept,0.3681987000310639,0.08445417561186772,0.20183580678447233,0.3683164094231125,0.5362082123649653,MAR,brms,6
propMissAct_0.57_autoCorr_0.73,b_Intercept,5.29999830630217,0.8099059318327214,3.625228452447252,5.327932718485679,6.835731587816072,MAR,brms,6
propMissAct_0.57_autoCorr_0.73,b_light,2.215971550247256,0.22408682925601084,1.7594972194145655,2.22021966636471,2.6473150122958136,MAR,brms,6
propMissAct_0.57_autoCorr_0.73,b_Q,-1.6989813621951855,0.2327242363928296,-2.1305342322497154,-1.7066426636247918,-1.2250885248856258,MAR,brms,6
propMissAct_0.57_autoCorr_0.73,phi,0.26808274263290116,0.09646655571177247,0.07756213685877435,0.26993894660873463,0.45534828823943585,MAR,brms,6
propMissAct_0.57_autoCorr_0.73,sigma,0.6178784583854323,0.034831226215994084,0.5541315874750433,0.6163818821042586,0.6910211007829902,MAR,brms,6
propMissAct_0.57_autoCorr_0.73,Intercept,0.36498685043891305,0.06428893674132455,0.23685269611563664,0.3643513604638242,0.49156333041893757,MAR,brms,6
