missingprop_autocor,Estimate,Est.Error,Q2.5,Q97.5,date,GPP,missingness,type,run_no
propMissAct_0.21_autoCorr_0.47,0.027394008057394854,0.5865109112689807,-1.1081238699608134,1.1705625054889575,2013-12-31T00:00:00Z,-0.6527207780258462,MAR,brms,125
propMissAct_0.21_autoCorr_0.47,0.3801485334022626,0.623222915427557,-0.8570585796153506,1.612708933860225,2014-01-01T00:00:00Z,-0.8727313138081563,MAR,brms,125
propMissAct_0.21_autoCorr_0.47,0.23200726410293326,0.6300351502624342,-1.0063599557060017,1.4650867751737413,2014-01-02T00:00:00Z,-0.997448953547836,MAR,brms,125
propMissAct_0.21_autoCorr_0.47,0.2317995637909957,0.6284833764262574,-0.9991133616383759,1.4439684746834636,2014-01-03T00:00:00Z,-0.9123565532483736,MAR,brms,125
propMissAct_0.21_autoCorr_0.47,0.19422766353226392,0.6246469759163352,-1.0321042917745096,1.4108788821204572,2014-01-04T00:00:00Z,-0.3616596898638746,MAR,brms,125
propMissAct_0.21_autoCorr_0.47,-0.3983294398764769,0.6250029904349726,-1.607084153732119,0.8408354794995114,2014-01-05T00:00:00Z,-3.302246029167979,MAR,brms,125
propMissAct_0.21_autoCorr_0.47,-0.7156991675429143,0.631294615365115,-1.9416857670614562,0.5109294890370432,2014-01-06T00:00:00Z,-0.86609053874533,MAR,brms,125
propMissAct_0.21_autoCorr_0.47,0.11502523739136057,0.6227323556386165,-1.1112741777520816,1.3280118017400326,2014-01-07T00:00:00Z,-0.9983829539508916,MAR,brms,125
propMissAct_0.21_autoCorr_0.47,0.548620010600762,0.6201557632106146,-0.648712435439519,1.784052541990729,2014-01-08T00:00:00Z,-0.6019689923534888,MAR,brms,125
propMissAct_0.21_autoCorr_0.47,-0.001122665172375433,0.6138188343925454,-1.1931082801152193,1.1956165128209009,2014-01-09T00:00:00Z,-1.191266078598353,MAR,brms,125
propMissAct_0.21_autoCorr_0.47,-0.2508790070699021,0.6241054270542488,-1.4946505677077337,0.9801439839623087,2014-01-10T00:00:00Z,NA,MAR,brms,125
propMissAct_0.21_autoCorr_0.47,-0.7426966120385605,0.6330404158949701,-1.9728986989895747,0.48528104588845633,2014-01-11T00:00:00Z,-1.1347333379405111,MAR,brms,125
propMissAct_0.21_autoCorr_0.47,-0.5528238466234218,0.6186922490193288,-1.7479473426929137,0.6604221259615185,2014-01-12T00:00:00Z,-1.7675445093418511,MAR,brms,125
propMissAct_0.21_autoCorr_0.47,-0.5851199459197023,0.6175624052333641,-1.794454144666006,0.611552267304028,2014-01-13T00:00:00Z,-1.9119688214503865,MAR,brms,125
propMissAct_0.21_autoCorr_0.47,-0.5198995037883404,0.6205813822352647,-1.7262469519458312,0.707945035259327,2014-01-14T00:00:00Z,-0.9170628234403512,MAR,brms,125
propMissAct_0.21_autoCorr_0.47,-0.5305545200427592,0.6199750608726022,-1.7481651185761056,0.6709868714777016,2014-01-15T00:00:00Z,-1.0014252217898034,MAR,brms,125
propMissAct_0.21_autoCorr_0.47,-0.3750483197153303,0.6198548867379728,-1.5970871486783038,0.8501318375387348,2014-01-16T00:00:00Z,-3.174940954929717,MAR,brms,125
propMissAct_0.21_autoCorr_0.47,-0.455923011281437,0.6274911483072415,-1.683881067484494,0.7727545637799268,2014-01-17T00:00:00Z,-1.290529229294103,MAR,brms,125
propMissAct_0.21_autoCorr_0.47,-0.3782430013475385,0.6249866541462721,-1.6200616069896927,0.833271564627771,2014-01-18T00:00:00Z,-0.7628452653477644,MAR,brms,125
propMissAct_0.21_autoCorr_0.47,-0.42673395040891776,0.620693008588205,-1.674020502314066,0.785253560900025,2014-01-19T00:00:00Z,-1.2016932001648797,MAR,brms,125
propMissAct_0.21_autoCorr_0.47,-0.3974682897613258,0.6156821805346921,-1.5927959494565043,0.8262456097244298,2014-01-20T00:00:00Z,-1.2241431279305734,MAR,brms,125
propMissAct_0.21_autoCorr_0.47,0.27408770618354245,0.6310875715944083,-0.9075564447906893,1.5179816308153538,2014-01-21T00:00:00Z,-0.8554972594008597,MAR,brms,125
propMissAct_0.21_autoCorr_0.47,0.8296045093214066,0.62391571966233506,-0.41134726403330096,2.0481365685514685,2014-01-22T00:00:00Z,-0.341929286950213,MAR,brms,125
propMissAct_0.21_autoCorr_0.47,0.2308291602729508,0.6253992767334569,-1.013231799203742,1.425715238322434,2014-01-23T00:00:00Z,-2.087499256902139,MAR,brms,125
propMissAct_0.21_autoCorr_0.47,0.046697940878093404,0.6211046546730312,-1.1869106866555557,1.2517100931142762,2014-01-24T00:00:00Z,-1.081975505966163,MAR,brms,125
propMissAct_0.21_autoCorr_0.47,-0.14875552571188563,0.6267071651422925,-1.3472496885907213,1.0716718971896602,2014-01-25T00:00:00Z,-1.654491324424658,MAR,brms,125
propMissAct_0.21_autoCorr_0.47,-0.31609990683600697,0.6239437222448769,-1.5485373335552695,0.8966859895178525,2014-01-26T00:00:00Z,-1.4574538118164022,MAR,brms,125
propMissAct_0.21_autoCorr_0.47,-0.07713744964783191,0.6226878585703952,-1.3005840319888422,1.1654383874823482,2014-01-27T00:00:00Z,NA,MAR,brms,125
propMissAct_0.21_autoCorr_0.47,0.11524780664288632,0.6133729632953352,-1.0882150824452081,1.3301042224973556,2014-01-28T00:00:00Z,NA,MAR,brms,125
propMissAct_0.21_autoCorr_0.47,0.249038902174023,0.6205842763710518,-0.9262388841645917,1.4841089690361984,2014-01-29T00:00:00Z,-0.9555811396258306,MAR,brms,125
propMissAct_0.21_autoCorr_0.47,0.007669512756372569,0.6328663728216473,-1.2284856135244757,1.245723246343087,2014-01-30T00:00:00Z,-0.920195703683634,MAR,brms,125
propMissAct_0.21_autoCorr_0.47,0.10244894316557593,0.6134790594693175,-1.1323851746630782,1.2929456783807183,2014-01-31T00:00:00Z,-0.6720761118358493,MAR,brms,125
propMissAct_0.21_autoCorr_0.47,-0.13828957767870342,0.6253427409918951,-1.3652037931200063,1.078689574241798,2014-02-01T00:00:00Z,-1.210548819806026,MAR,brms,125
propMissAct_0.21_autoCorr_0.47,-0.06550078795878654,0.6166025218508948,-1.2473690022120976,1.1614331094071007,2014-02-02T00:00:00Z,-1.0831006234676563,MAR,brms,125
