"","missingprop_autocor","parameter","mean","sd","2.5%","50%","97.5%","missingness","type","run_no","...1","...12","...13"
"1","propMissAct_0.25_autoCorr_0.27","b_Intercept",4.86426827352828,0.754540248880151,3.32850400270179,4.88642659872048,6.29796694596706,"MAR","brms",100,NA,NA,NA
"2","propMissAct_0.25_autoCorr_0.27","b_light",1.72098258585029,0.185894082096598,1.34593542541278,1.72703107777656,2.06855492196858,"MAR","brms",100,NA,NA,NA
"3","propMissAct_0.25_autoCorr_0.27","b_Q",-1.49399746625431,0.219787082062441,-1.91226607597982,-1.50279231555401,-1.04750145527003,"MAR","brms",100,NA,NA,NA
"4","propMissAct_0.25_autoCorr_0.27","phi",0.419168358704829,0.0673086017443017,0.286739436711569,0.418502850082156,0.551529625755354,"MAR","brms",100,NA,NA,NA
"5","propMissAct_0.25_autoCorr_0.27","sigma",0.59633090438234,0.0259929614720099,0.549699389916999,0.59510957248562,0.650154057203802,"MAR","brms",100,NA,NA,NA
"6","propMissAct_0.25_autoCorr_0.27","Intercept",0.421013223056771,0.0576061406956978,0.310650684861219,0.421020268319339,0.535550272215694,"MAR","brms",100,NA,NA,NA
"7","propMissAct_0.43_autoCorr_0.3","b_Intercept",4.84174537309193,1.14370943328294,2.39602524983344,4.89622577062649,6.90404486365339,"MAR","brms",100,NA,NA,NA
"8","propMissAct_0.43_autoCorr_0.3","b_light",1.6852270623499,0.320581450756129,0.99475930120092,1.70944874718982,2.2523757323928,"MAR","brms",100,NA,NA,NA
"9","propMissAct_0.43_autoCorr_0.3","b_Q",-1.49204982744943,0.338526061612781,-2.09572854316819,-1.51279529843494,-0.768370821851158,"MAR","brms",100,NA,NA,NA
"10","propMissAct_0.43_autoCorr_0.3","phi",0.615798965784777,0.10574588804689,0.402688497257684,0.619970693509813,0.804310169472829,"MAR","brms",100,NA,NA,NA
"11","propMissAct_0.43_autoCorr_0.3","sigma",0.553304971194561,0.0319408793200223,0.495233122287377,0.55182104153922,0.619493128231877,"MAR","brms",100,NA,NA,NA
"12","propMissAct_0.43_autoCorr_0.3","Intercept",0.389022063045448,0.0893460980863501,0.205340941308661,0.390933508921093,0.559583525375026,"MAR","brms",100,NA,NA,NA
"13","propMissAct_0.63_autoCorr_0.31","b_Intercept",5.76632180442879,0.803213815625749,4.12904131209511,5.78111464474233,7.28583051755134,"MAR","brms",100,NA,NA,NA
"14","propMissAct_0.63_autoCorr_0.31","b_light",1.9250744689982,0.217750351646895,1.49754430181546,1.92607682379129,2.34599554245184,"MAR","brms",100,NA,NA,NA
"15","propMissAct_0.63_autoCorr_0.31","b_Q",-1.76931198448902,0.225195391826868,-2.19671768261927,-1.77299585720212,-1.32087860719027,"MAR","brms",100,NA,NA,NA
"16","propMissAct_0.63_autoCorr_0.31","phi",0.15082119346196,0.118684903906988,-0.0864743695454933,0.154251288270426,0.375268555045716,"MAR","brms",100,NA,NA,NA
"17","propMissAct_0.63_autoCorr_0.31","sigma",0.637111234206108,0.0404707115782227,0.564021725358248,0.635181843231798,0.723701602629701,"MAR","brms",100,NA,NA,NA
"18","propMissAct_0.63_autoCorr_0.31","Intercept",0.45278034488291,0.0614159595370876,0.33194234990757,0.452340450990643,0.572845639488837,"MAR","brms",100,NA,NA,NA
"19","propMissAct_0.23_autoCorr_0.49","b_Intercept",5.89031825347088,0.693888207147077,4.50507837819816,5.90571352658606,7.20462672997817,"MAR","brms",101,NA,NA,NA
"20","propMissAct_0.23_autoCorr_0.49","b_light",1.93750658274725,0.166272378063915,1.60499569439232,1.9368604068747,2.25515392834518,"MAR","brms",101,NA,NA,NA
"21","propMissAct_0.23_autoCorr_0.49","b_Q",-1.82247578578558,0.199046380026764,-2.20205680795902,-1.8260734671284,-1.4238733535763,"MAR","brms",101,NA,NA,NA
"22","propMissAct_0.23_autoCorr_0.49","phi",0.31680633460121,0.062907739995633,0.189851739136242,0.31724722780637,0.439756917254793,"MAR","brms",101,NA,NA,NA
"23","propMissAct_0.23_autoCorr_0.49","sigma",0.618510354696326,0.0261945680184659,0.570794107727945,0.617577047272532,0.673237327221315,"MAR","brms",101,NA,NA,NA
"24","propMissAct_0.23_autoCorr_0.49","Intercept",0.396437253245045,0.0509355027945804,0.296789345467801,0.395704301312481,0.499209630719999,"MAR","brms",101,NA,NA,NA
"25","propMissAct_0.4_autoCorr_0.46","b_Intercept",5.51102957328882,0.709785839878721,4.10396680157935,5.51124728221378,6.88324831842423,"MAR","brms",101,NA,NA,NA
"26","propMissAct_0.4_autoCorr_0.46","b_light",1.73814927562199,0.189321161516968,1.3559275169633,1.74176737628719,2.09883034736715,"MAR","brms",101,NA,NA,NA
"27","propMissAct_0.4_autoCorr_0.46","b_Q",-1.68417302848664,0.203631523455089,-2.07646042080062,-1.68340346629803,-1.28207394704295,"MAR","brms",101,NA,NA,NA
"28","propMissAct_0.4_autoCorr_0.46","phi",0.360555158949495,0.0666187764674271,0.229033537953382,0.360502563226831,0.487869641901805,"MAR","brms",101,NA,NA,NA
"29","propMissAct_0.4_autoCorr_0.46","sigma",0.601669674809904,0.0286080446704184,0.548592378684828,0.600811876698461,0.659839056043368,"MAR","brms",101,NA,NA,NA
"30","propMissAct_0.4_autoCorr_0.46","Intercept",0.410236514963323,0.057828214999772,0.296939390794427,0.410440093954656,0.527150364385509,"MAR","brms",101,NA,NA,NA
"31","propMissAct_0.63_autoCorr_0.46","b_Intercept",5.25081985039071,0.870489840585763,3.55079775030313,5.25991509457237,6.94360808255973,"MAR","brms",101,NA,NA,NA
"32","propMissAct_0.63_autoCorr_0.46","b_light",2.00170512980589,0.226609566577948,1.52977754626206,2.0113899832571,2.41362135272996,"MAR","brms",101,NA,NA,NA
"33","propMissAct_0.63_autoCorr_0.46","b_Q",-1.65386071253602,0.248224356450332,-2.13365370583108,-1.65967745086114,-1.16454484441119,"MAR","brms",101,NA,NA,NA
"34","propMissAct_0.63_autoCorr_0.46","phi",0.237151498556162,0.106043948574437,0.0268258906049909,0.237502778572916,0.442958993591505,"MAR","brms",101,NA,NA,NA
"35","propMissAct_0.63_autoCorr_0.46","sigma",0.615237159774246,0.0368672625977447,0.546395915739501,0.614024987435429,0.691632277441684,"MAR","brms",101,NA,NA,NA
"36","propMissAct_0.63_autoCorr_0.46","Intercept",0.376096603251848,0.062282577170416,0.253613989596135,0.376466037058072,0.499860381774984,"MAR","brms",101,NA,NA,NA
"37","propMissAct_0.24_autoCorr_0.73","b_Intercept",5.22983269071254,0.670876940674332,3.83756540179797,5.25500417353693,6.4774763626776,"MAR","brms",102,NA,NA,NA
"38","propMissAct_0.24_autoCorr_0.73","b_light",1.9937782232687,0.164824453828519,1.66670235778251,1.99678857272798,2.31657994183892,"MAR","brms",102,NA,NA,NA
"39","propMissAct_0.24_autoCorr_0.73","b_Q",-1.63409095885644,0.192490218640089,-1.99242553372289,-1.64170877431678,-1.23797110461326,"MAR","brms",102,NA,NA,NA
"40","propMissAct_0.24_autoCorr_0.73","phi",0.346120128275029,0.0585602594781762,0.234672048510482,0.345417178356117,0.46320070525538,"MAR","brms",102,NA,NA,NA
"41","propMissAct_0.24_autoCorr_0.73","sigma",0.610777724374163,0.0251558863991643,0.563704432741567,0.609992538803449,0.661875575906816,"MAR","brms",102,NA,NA,NA
"42","propMissAct_0.24_autoCorr_0.73","Intercept",0.420666894131377,0.0529039462245908,0.317406416242583,0.420589398608451,0.525717633374073,"MAR","brms",102,NA,NA,NA
