missingprop_autocor,parameter,mean,sd,2.5%,50%,97.5%,missingness,type,run_no
propMissAct_0.25_autoCorr_0.28,b_Intercept,5.650471545900688,0.652826940880238,4.321935647957395,5.660825296685603,6.905018570610053,MAR,brms,148
propMissAct_0.25_autoCorr_0.28,b_light,2.0013025332308043,0.16354762303200587,1.6763245862978136,2.002838996892451,2.3212037448663585,MAR,brms,148
propMissAct_0.25_autoCorr_0.28,b_Q,-1.7625588147006397,0.18613712667716933,-2.1190327154996464,-1.7649037621810524,-1.3852121893477132,MAR,brms,148
propMissAct_0.25_autoCorr_0.28,phi,0.27111002880524115,0.06404537184204748,0.14634728661742727,0.27068541880762026,0.39799642380526407,MAR,brms,148
propMissAct_0.25_autoCorr_0.28,sigma,0.6398152985569492,0.027199609054482182,0.5880804592342372,0.63909925993819,0.6957948729312641,MAR,brms,148
propMissAct_0.25_autoCorr_0.28,Intercept,0.39526969806503953,0.049798311154844496,0.29858377326916585,0.39450524334665604,0.4948052277117152,MAR,brms,148
propMissAct_0.45_autoCorr_0.28,b_Intercept,5.7348539985438585,0.7866516385852356,4.147670624665042,5.737633757425953,7.254765097726356,MAR,brms,148
propMissAct_0.45_autoCorr_0.28,b_light,1.8972180803957492,0.20720548409987796,1.4796274981213393,1.901254473703654,2.2913281729960513,MAR,brms,148
propMissAct_0.45_autoCorr_0.28,b_Q,-1.7629544249302227,0.22698045778884782,-2.2002258647954025,-1.7667501401804306,-1.3070175629465297,MAR,brms,148
propMissAct_0.45_autoCorr_0.28,phi,0.33708218944700785,0.08777771875729039,0.1605637879619804,0.33911449424207596,0.5101038748653312,MAR,brms,148
propMissAct_0.45_autoCorr_0.28,sigma,0.6239657746695257,0.03231184264072588,0.5661561214557506,0.621952481941191,0.6910479002382618,MAR,brms,148
propMissAct_0.45_autoCorr_0.28,Intercept,0.43087010014713967,0.05941115747389471,0.31350787018466536,0.4311120568298443,0.549628835130327,MAR,brms,148
propMissAct_0.58_autoCorr_0.25,b_Intercept,5.455072036719406,1.0159489394845393,3.318477506270452,5.499646898118748,7.33035413440819,MAR,brms,148
propMissAct_0.58_autoCorr_0.25,b_light,1.9572504831915207,0.21255109691917876,1.5494020643977624,1.9592736779439188,2.378564058103402,MAR,brms,148
propMissAct_0.58_autoCorr_0.25,b_Q,-1.7145297711766736,0.2892516696460164,-2.244928579034629,-1.728660857821968,-1.1014054675455927,MAR,brms,148
propMissAct_0.58_autoCorr_0.25,phi,0.2569619033931473,0.11399458608037549,0.031695674662779914,0.25848172796362445,0.4728631309116412,MAR,brms,148
propMissAct_0.58_autoCorr_0.25,sigma,0.6798842089266757,0.03992931972557401,0.6085471624800599,0.6775891253936778,0.7643345027444292,MAR,brms,148
propMissAct_0.58_autoCorr_0.25,Intercept,0.34784599381920006,0.06532969866988787,0.22212162703484567,0.3466090709214954,0.4756126710795119,MAR,brms,148
