missingprop_autocor,parameter,mean,sd,2.5%,50%,97.5%,missingness,type,run_no
propMissAct_0.22_autoCorr_0.2,b_Intercept,6.455458420236668,0.624974193538943,5.207568572110299,6.461838175881351,7.637547194372471,MAR,brms,79
propMissAct_0.22_autoCorr_0.2,b_light,1.9085549538677604,0.15258263911375164,1.5984370604803044,1.910088376302779,2.19869029446533,MAR,brms,79
propMissAct_0.22_autoCorr_0.2,b_Q,-1.9789267730668971,0.17854470113977447,-2.314372788016485,-1.9808165030850673,-1.6200904538018304,MAR,brms,79
propMissAct_0.22_autoCorr_0.2,phi,0.21853675404186865,0.06564298211854366,0.09012601850861185,0.2187394134273728,0.3465792386543462,MAR,brms,79
propMissAct_0.22_autoCorr_0.2,sigma,0.6264573673656896,0.025997316198248275,0.5787866863261578,0.625779052694482,0.6808147937907606,MAR,brms,79
propMissAct_0.22_autoCorr_0.2,Intercept,0.40102812869962007,0.04545165002836759,0.31025746761558426,0.4008477300124609,0.49041479779096836,MAR,brms,79
propMissAct_0.44_autoCorr_0.23,b_Intercept,6.424483708976554,0.7048348435840894,4.99681231844598,6.43236429696031,7.787327173543931,MAR,brms,79
propMissAct_0.44_autoCorr_0.23,b_light,2.1071262275491374,0.17239965758521286,1.7642634215572992,2.109963850327377,2.4459228954860084,MAR,brms,79
propMissAct_0.44_autoCorr_0.23,b_Q,-1.9868936681293246,0.19863621547625682,-2.372970767665804,-1.9879215745302665,-1.583101313898818,MAR,brms,79
propMissAct_0.44_autoCorr_0.23,phi,0.17835302424820904,0.09496815319696383,-0.011761808217132299,0.18049481606926712,0.3625928032165978,MAR,brms,79
propMissAct_0.44_autoCorr_0.23,sigma,0.6325115456334448,0.031991256084744187,0.5736729514249649,0.6316923037482122,0.699344716907977,MAR,brms,79
propMissAct_0.44_autoCorr_0.23,Intercept,0.432605478960844,0.051293458730959654,0.3300069670374317,0.43286605406637635,0.5332614005006903,MAR,brms,79
propMissAct_0.6_autoCorr_0.2,b_Intercept,5.332927919387049,0.836608567668102,3.6137367314170294,5.366249163735924,6.8708439067754314,MAR,brms,79
propMissAct_0.6_autoCorr_0.2,b_light,1.6851303654403196,0.23270721261483146,1.1911952981367138,1.6977995102302992,2.107835346274109,MAR,brms,79
propMissAct_0.6_autoCorr_0.2,b_Q,-1.6213442234767046,0.2431268195382796,-2.0670130738474364,-1.6314752273798652,-1.1213520212544381,MAR,brms,79
propMissAct_0.6_autoCorr_0.2,phi,0.3882787810348461,0.12970728300252077,0.12826434057899916,0.39135782048666673,0.6361061819530187,MAR,brms,79
propMissAct_0.6_autoCorr_0.2,sigma,0.5750187755641697,0.03628852665686058,0.5085098556141076,0.5735533541682656,0.649814372234353,MAR,brms,79
propMissAct_0.6_autoCorr_0.2,Intercept,0.4278063412074034,0.06578036416935458,0.2940746504381006,0.4283782184487457,0.5571408650178487,MAR,brms,79
